HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Beta_vulgaris	Betula_pendula	Camellia_sinensis	Cinnamomum_kanehirae	Cucumis_sativus	Eucalyptus_grandis	Ginkgo_biloba	Malania_oleifera	Malus_domestica	Medicago_truncatula	Mimulus_guttatus	Nicotiana_tabacum	Physcomitrella_patens	Picea_abies	Pinus_tabuliformis	Populus_tremula	Prunus_avium	Salix_purpurea	Sequoiadendron_giganteum	Taxus_chinensis	Vitis_vinifera	Welwitschia_mirabilis	Zostera_marina
N21.HOG0000000	OG0000000	n3			Betpen_Bpev01.c1401.g0004.m0001																					
N21.HOG0000001	OG0000000	n19						Cucsa.122430.1.v1.122 gene=Cucsa.122430.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0000002	OG0000000	n29			Betpen_Bpev01.c0015.g0247.m0001			Cucsa.366730.1.v1.122 gene=Cucsa.366730.v1 seq_id=scaffold03625 type=cds																		
N21.HOG0000003	OG0000000	n41			Betpen_Bpev01.c0312.g0037.m0001																					
N21.HOG0000004	OG0000000	n48			Betpen_Bpev01.c0682.g0011.m0001			Cucsa.143290.1.v1.122 gene=Cucsa.143290.v1 seq_id=scaffold01079 type=cds																		
N21.HOG0000005	OG0000000	n62						Cucsa.337210.1.v1.122 gene=Cucsa.337210.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000006	OG0000000	n69			Betpen_Bpev01.c1411.g0002.m0001, Betpen_Bpev01.c1411.g0002.m0002			Cucsa.116330.1.v1.122 gene=Cucsa.116330.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0000007	OG0000000	n82			Betpen_Bpev01.c0261.g0067.m0001			Cucsa.089120.1.v1.122 gene=Cucsa.089120.v1 seq_id=scaffold00894 type=cds																		
N21.HOG0000008	OG0000000	n98						Cucsa.307080.1.v1.122 gene=Cucsa.307080.v1 seq_id=scaffold02977 type=cds																		
N21.HOG0000009	OG0000000	n115						Cucsa.138890.1.v1.122 gene=Cucsa.138890.v1 seq_id=scaffold01066 type=cds																		
N21.HOG0000010	OG0000000	n141			Betpen_Bpev01.c0142.g0010.m0001			Cucsa.050820.1.v1.122 gene=Cucsa.050820.v1 seq_id=scaffold00557 type=cds																		
N21.HOG0000011	OG0000000	n162			Betpen_Bpev01.c0000.g0164.m0001			Cucsa.318660.1.v1.122 gene=Cucsa.318660.v1 seq_id=scaffold03076 type=cds																		
N21.HOG0000012	OG0000000	n185			Betpen_Bpev01.c0357.g0020.m0001			Cucsa.327750.1.v1.122 gene=Cucsa.327750.v1 seq_id=scaffold03159 type=cds																		
N21.HOG0000013	OG0000000	n202			Betpen_Bpev01.c0349.g0018.m0001																					
N21.HOG0000014	OG0000000	n231			Betpen_Bpev01.c0015.g0002.m0001																					
N21.HOG0000015	OG0000000	n245			Betpen_Bpev01.c0274.g0020.m0001			Cucsa.005010.1.v1.122 gene=Cucsa.005010.v1 seq_id=scaffold00055 type=cds																		
N21.HOG0000016	OG0000000	n258						Cucsa.231860.1.v1.122 gene=Cucsa.231860.v1 seq_id=scaffold01989 type=cds																		
N21.HOG0000017	OG0000000	n271						Cucsa.194010.1.v1.122 gene=Cucsa.194010.v1 seq_id=scaffold01337 type=cds																		
N21.HOG0000018	OG0000000	n283			Betpen_Bpev01.c0189.g0007.m0001			Cucsa.082220.1.v1.122 gene=Cucsa.082220.v1 seq_id=scaffold00843 type=cds																		
N21.HOG0000019	OG0000000	n296			Betpen_Bpev01.c0240.g0037.m0001			Cucsa.047400.1.v1.122 gene=Cucsa.047400.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0000020	OG0000000	n330			Betpen_Bpev01.c0715.g0007.m0001																					
N21.HOG0000021	OG0000000	n354			Betpen_Bpev01.c0134.g0048.m0001			Cucsa.394120.1.v1.122 gene=Cucsa.394120.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0000022	OG0000000	n372			Betpen_Bpev01.c1907.g0002.m0001																					
N21.HOG0000023	OG0000000	n412			Betpen_Bpev01.c1145.g0004.m0001			Cucsa.104830.1.v1.122 gene=Cucsa.104830.v1 seq_id=scaffold00927 type=cds																		
N21.HOG0000024	OG0000000	n435			Betpen_Bpev01.c0051.g0125.m0001																					
N21.HOG0000025	OG0000000	n460			Betpen_Bpev01.c0261.g0041.m0001			Cucsa.156060.1.v1.122 gene=Cucsa.156060.v1 seq_id=scaffold01139 type=cds																		
N21.HOG0000026	OG0000000	n543			Betpen_Bpev01.c0488.g0023.m0001			Cucsa.063220.1.v1.122 gene=Cucsa.063220.v1 seq_id=scaffold00667 type=cds																		
N21.HOG0000027	OG0000000	n562			Betpen_Bpev01.c0101.g0009.m0001			Cucsa.285450.1.v1.122 gene=Cucsa.285450.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0000028	OG0000000	n572						Cucsa.257200.1.v1.122 gene=Cucsa.257200.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0000029	OG0000000	n575			Betpen_Bpev01.c1378.g0024.m0001			Cucsa.127520.1.v1.122 gene=Cucsa.127520.v1 seq_id=scaffold01019 type=cds																		
N21.HOG0000030	OG0000000	n579						Cucsa.051090.1.v1.122 gene=Cucsa.051090.v1 seq_id=scaffold00557 type=cds																		
N21.HOG0000031	OG0000000	n602			Betpen_Bpev01.c0827.g0010.m0001			Cucsa.048100.1.v1.122 gene=Cucsa.048100.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0000032	OG0000000	n616						Cucsa.162390.1.v1.122 gene=Cucsa.162390.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0000033	OG0000000	n629			Betpen_Bpev01.c0126.g0060.m0001			Cucsa.196470.1.v1.122 gene=Cucsa.196470.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0000034	OG0000000	n638			Betpen_Bpev01.c1316.g0005.m0001, Betpen_Bpev01.c1322.g0002.m0001			Cucsa.176760.1.v1.122 gene=Cucsa.176760.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0000035	OG0000000	n658			Betpen_Bpev01.c0101.g0081.m0001			Cucsa.285030.1.v1.122 gene=Cucsa.285030.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0000036	OG0000000	n673			Betpen_Bpev01.c2160.g0003.m0001			Cucsa.140660.1.v1.122 gene=Cucsa.140660.v1 seq_id=scaffold01071 type=cds																		
N21.HOG0000037	OG0000000	n683			Betpen_Bpev01.c3000.g0001.m0001																					
N21.HOG0000038	OG0000000	n755			Betpen_Bpev01.c2387.g0004.m0001			Cucsa.166060.1.v1.122 gene=Cucsa.166060.v1 seq_id=scaffold01153 type=cds																		
N21.HOG0000039	OG0000000	n785			Betpen_Bpev01.c1116.g0004.m0001			Cucsa.359090.1.v1.122 gene=Cucsa.359090.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0000040	OG0000000	n815			Betpen_Bpev01.c0024.g0016.m0001			Cucsa.105560.1.v1.122 gene=Cucsa.105560.v1 seq_id=scaffold00929 type=cds																		
N21.HOG0000041	OG0000000	n835			Betpen_Bpev01.c1534.g0005.m0001			Cucsa.005510.1.v1.122 gene=Cucsa.005510.v1 seq_id=scaffold00055 type=cds																		
N21.HOG0000042	OG0000000	n868			Betpen_Bpev01.c0577.g0013.m0001																					
N21.HOG0000043	OG0000000	n946						Cucsa.291650.1.v1.122 gene=Cucsa.291650.v1 seq_id=scaffold02766 type=cds																		
N21.HOG0000044	OG0000000	n976						Cucsa.398020.1.v1.122 gene=Cucsa.398020.v1 seq_id=scaffold04158 type=cds																		
N21.HOG0000045	OG0000000	n980			Betpen_Bpev01.c0328.g0018.m0001																					
N21.HOG0000046	OG0000000	n995						Cucsa.340060.1.v1.122 gene=Cucsa.340060.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000047	OG0000000	n1004			Betpen_Bpev01.c0062.g0006.m0001																					
N21.HOG0000048	OG0000000	n1013			Betpen_Bpev01.c0223.g0034.m0001			Cucsa.123940.1.v1.122 gene=Cucsa.123940.v1 seq_id=scaffold01001 type=cds																		
N21.HOG0000049	OG0000000	n1033						Cucsa.289130.1.v1.122 gene=Cucsa.289130.v1 seq_id=scaffold02698 type=cds																		
N21.HOG0000050	OG0000000	n1114			Betpen_Bpev01.c0603.g0004.m0001			Cucsa.178920.1.v1.122 gene=Cucsa.178920.v1 seq_id=scaffold01227 type=cds																		
N21.HOG0000051	OG0000000	n1140			Betpen_Bpev01.c1815.g0006.m0001			Cucsa.218030.1.v1.122 gene=Cucsa.218030.v1 seq_id=scaffold01658 type=cds																		
N21.HOG0000052	OG0000000	n1160			Betpen_Bpev01.c0457.g0011.m0001			Cucsa.076500.1.v1.122 gene=Cucsa.076500.v1 seq_id=scaffold00789 type=cds																		
N21.HOG0000053	OG0000000	n1192			Betpen_Bpev01.c0568.g0010.m0001																					
N21.HOG0000054	OG0000000	n1209			Betpen_Bpev01.c0095.g0019.m0001			Cucsa.004630.1.v1.122 gene=Cucsa.004630.v1 seq_id=scaffold00053 type=cds																		
N21.HOG0000055	OG0000000	n1230			Betpen_Bpev01.c0374.g0020.m0001			Cucsa.212940.1.v1.122 gene=Cucsa.212940.v1 seq_id=scaffold01543 type=cds																		
